,title,location,description,price,features,agent,agent_membership,agent_verified
10,Studio Condo Apartment Bldg. For Rent adjacent to Northgate Cyberzone Muntinlupa,"Alabang, Muntinlupa","31 Bedroom Apartment for rent in Alabang, Metro Manila
NEW MAHOGANY STUDIO APARTMENTS 4-STORY BUILDING in Rizal Village
INCLUDES a 120 square meter Roof Deck with Toilet.
All units have a toilet and bath, comes with a kitchenette counter with base and overhead cabinets.

  31 total studio units

Suggested maximum double-deck beds per unit: 2 double decks or 4 total occupants (except for the 5 lofts on the 4th floor). Total of 134 persons.

SPECIAL PROMO:
From PHP8,500, now to only PHP7,500

NEAREST LANDMARK (walking distance)
-adjacent to North gate cyberzone
- near festival super mall & alabang town center.
- near filinvest corporate city & Madrigal business park,
West gate center.
- near asian hospital.
- near south Station transport terminal.

Contact for more info
Quintin B. Chua Jr.","₱ 7,500","['Bedrooms : 31', 'Floor area : 950 m²']",Yuchi Chua,MEMBER SINCE 2019,not verified
11,"1-BR Apartment for Rent at Ferros Bel Air Tower, Makati City","Poblacion, Makati","1-BR Apartment for Rent at Ferros Bel Air Tower, Makati City

2nd floor
Fully Furnished 
60sqm
1 bedroom 
1 toilet and bath 

40,000 per month
1 month advance and 2 months deposit 
Minimum of 1 year contract 
PDC’s Required","₱ 40,000","['Bedroom : 1', 'Bath : 1', 'Floor area : 60 m²']",Realus Realtors,MEMBER SINCE 2022,verified
12,"Rooms in Eastwood Libis with aircon, semi furnished and DISCOUNT",Quezon City,"RUS888 Rooms for Rent Libis170 e. rodriguez jr ave libis qc9,000 per month with cable and internet- price good for two- price applicable for a minimum stay of 6 months- own cr and kitchen- does not include water and electricity~^~^~/RUS888 Room Rentalrus888(dot)com","₱ 9,000",[],RUS888 Rooms for Rent,MEMBER SINCE 2012,verified
13,Affordable BEDspace for 1 working girl,Quezon City,"We have a bed for 1 working girl for only P3000 with AC. with built-in closet, submetered, Free WIFI, with shared T&B, mini kitchen, laundry area. 5min walk to LRT Katipunan. near cubao (west), sm marikina (east), Katipunan (north), Libis (south). Private, fun place with no curfew.","₱ 3,000","['Bedroom : 1', 'Floor area : 10 m²']",polly duran,MEMBER SINCE 2014,verified
14,Rooms for Rent in Panglao,Panglao,"Location : Alona Springs Bldg., Alona Drive, Tawala, Panglao&lt.br /&gt.&lt.br /&gt.Description:&lt.br /&gt.* well appointed Room for two persons&lt.br /&gt.* Air-conditioned with deluxe type CR&lt.br /&gt.* walking distance to Alona Beach, Eskaya, South Palms, etc.&lt.br /&gt.* Quiet and relaxing ambiance&lt.br /&gt.* 15 min. ride to Tagbilaran City&lt.br /&gt.* Mini bar and function rooms for other activities&lt.br /&gt.* Fast Internet access&lt.br /&gt.* TV with cable&lt.br /&gt.&lt.br /&gt.Price:&lt.br /&gt.* 900 pesos per day (24 hours)&lt.br /&gt.* 1500 pesos for Family Rooms&lt.br /&gt.&lt.br /&gt.Includes:&lt.br /&gt.* Free breakfast!!!&lt.br /&gt.Book and reserve now at Alona Springs",Contact agent for price,['Bath : 1'],Francis Aparicio,MEMBER SINCE 2013,verified
15,2Br 55sqm J&H apartments for rent short or long term v1776,Cebu,"J&H ApartmentsFully furnished apartments for short or long term rentingF. Pacaña Street, Labangon* Fully Furnished and fully equipped kitchen* Fully air-conditioned* Private gymHIGH SPEED FIBER OPTIC internet* Cable TV  * Secure parking* With 24-hour security guard* With 24-hour cameras surveillance* Hot and cold shower for bathing/washing* Weekly linen change and cleaning services(extra charge)* Spacious two bedroom units*  5 minute walk to Metro shopping mall   and walking distance to 2 other shopping malls We are very close to Seaside SM *  Sorry no pets allowedIf you have family or friends living in Cebu please ask them to view the place and report to youApartment prices  Php 27k","₱ 25,000","['Bedrooms : 2', 'Bath : 1', 'Floor area : 55 m²']",Hilda NA,MEMBER SINCE 2012,not verified
16,2 Br Apartment at Taguig. Now available!,Taguig,"Looking for Apartment where all you need are in reach?
LOOK NO FURTHER!
EARC services offers good quality of home a customer deserves.
For just Php. 8000.00 you will have the
access to the basic needs of your Quality Life.
- Food
- Shopping
- Hospital
- Transportation
- Schooling
- Churches
Best Thing! We offer good neighbors here in our apartment.
See to Appreciate. Oras ay from 8 am to 7pm.
Interested?Tanong? Tawag lang, Rossano Entendez","₱ 8,000","['Bedrooms : 2', 'Bath : 1', 'Floor area : 34 m²']",Ramoncito Entendez,MEMBER SINCE 2013,verified
17,Transient Room 4 sqm in Quezon City,"East Kamias, Quezon City","Transient Room in Cubao Quezon City (Daily)
Near Anonas corner k-10th St Quezon City. Landmark: Mercury Drug-Anonas
Price/day: only 400php a day
Bed: single / 3ft wide
No of Persons: max of 2 persons.
Amenities: W/ bed sheet & 2pillows, 1electric fan, 1Common CR Check-in 12:00nn check-out 12:00nn. Full payment upon check-in. Water&electric bill included.
Public Transpo: Proj. 2-3/SSS/NSO/LTO, Lagro/Fairview, Taft/Quiapo/Espana , Pantranco
Establishments nearby: East Ave Medical Center, Philippine Heart Center, SSS, LTO - 2.5km; Cubao 1.8km; Timog - 2.8km; GMA - MRT - 1.8km; Ateneo de Manila 3.6km; UP diliman-5.6km; Anonas LRT2 - 2km Please visit our FB page Apartment QC for more info.",Contact agent for price,"['Bedroom : 1', 'Bath : 1', 'Floor area : 4 m²']",Berry Nula,MEMBER SINCE 2015,not verified
18,Bedspace with aircon for rent 25 sqm,"Makati Avenue, Makati","inclusionBiometric door EntranceCCTV Camera 24hrsFire Alarm SystemFire Sprinkler SystemSmoke DetectorGuard 24hrsAdmin Officerinclusive wagter and ElectricCabinet LockerCeilingfanCurtainToilet w/ Sinkaircon Unit 7pm to 6amTable w/ ChairsFour(4)Double deck beds8 person2pcs-2gang sockets for cellphone and laptop*Terms*Php4,500/a month Lower bedPhp4,000/a month Upper bed1 month advance1 month deposit6 months to 1 year contract","₱ 4,000","['Bedroom : 1', 'Floor area : 25 m²']",Pinagkakaisa Corp,MEMBER SINCE 2016,verified
19,Ladies Bedspace 1 Year Contract Near Mendiola CEU SAN BEDA MANILA,Manila,Bedspace Room for 4= Php 4000/monthBedspace Room for 6 = Php 3650/monthFor reservation and inquiries you may contact ~^~^~2577792. Some of the Dorm features are provided below.Room Feature:1. Air-conditioned unit2. Bed Frame3. Cabinet and table4. Fire Sprinkler5. Cleaning Services6. Toilet/Bath each room with water heater7. Own meter in each roomDormitory Feature:1. 24 hour CCTV Camera2. Fire Extinguisher/ sprinkler/exit/alarm in every floor3. Study Area in every floor4. Spacious5. 24 Hr. Security Guard6. Pantry7. Free WifiSchools/Universities nearby1. CEU / Centro Escolar University2. San Beda3. Arellano4. College of the Holy Spirit,"₱ 3,650",['Bedroom : 1'],Bevene Residences,MEMBER SINCE 2016,verified
20,3 bedrooms Apartment Furnished Free Cleaning twice a week  @Php32k,"Mabolo, Cebu","fully furnished 2 bedrooms with 2 toilet and bath apartment walking distance to restuarent , hotel, banks and groceriesLocation :  5 minutes drive to Ayala 10 minutes to IT Park40 minutes to MActan international Airport","₱ 35,000","['Bedrooms : 2', 'Bath : 1', 'Floor area : 70 m²']",Faith Maribao,MEMBER SINCE 2016,verified
21,"Apartment, 3 Bedrooms for Rent in Mabolo, Cebu City",Cebu,"Apartment, 4 bedrooms including maids room for rent inside a gated compound located in Mabolo, Cebu City. It is conveniently located near Cebu Business Park and Cebu IT Park, malls, restaurants and other business establishments.  It is also accessible by public utility vehicles from the main road.Estimated Floor Area : 110 square meters, more or lessEstimated Lot Area: 85 square meters more or lessApartment details: 3 Bedrooms Built-in closets in each bedroom1 common toilet and bath at the second levelPowder room1 maids roomKitchen with built-in cabinets Living Area and dining area 2 car parking is Tile flooring at the ground level and second level. It is a well maintained apartment.Rental per month: PhP29,000.00Advance Rental : Equivalent to 2 months rentSecurity Deposit : Equivalent to 2 months rentMinimum rent terms is 1 year Interested client  feel free to call Margie or Janice or Rose or CherylReference Code 853Ref # 2986","₱ 29,000","['Bedrooms : 3', 'Baths : 3']",Rodulfo Jr. Lafradez,MEMBER SINCE 2016,verified
22,"2 Bedroom BrandNew Apartment for Rent in Labangon, Cebu City, Unfurnished",Cebu,"Property Type: Apartment for RentLocation: Labangon, Cebu CityTotal Bedrooms: 2Total Toilet and Bath: 1Turn over condition: UnfurnishedParking slot: 1Estimated Floor Area: 80 square meters more or lessRental Rate: PhP 17,000.002-Bedroom and unfurnished apartment for rent located in Labangon, Cebu City.  It is conveniently located near Jollibee, Wet Market, Restaurants, schools, church, and malls. It is also accessible by public utility vehicles from the main road.Apartment Details: 2-Bedroom with built-in cabinetsToilet and bathLiving area Dining areaKitchen areaLaundry areaDrying area UnfurnishedTiled flooringSafe with 24 hours security on duty1 parking slot with parking rent at PhP 2,000.00Advance Rental: Equivalent to 1 month rentSecurity Deposit: Equivalent to 2 months rentMinimum Rental Term: 1 year Reference Code No. 911Interested client feel free to callMargie or Janice or Rose or Cheryl or ErmieRef # 2986","₱ 17,000","['Bedrooms : 2', 'Bath : 1']",Rodulfo Jr. Lafradez,MEMBER SINCE 2016,verified
23,"Apartment, 2 Bedrooms  for Rent in Mandaue City, Cebu",Mandaue,"Apartment for rent inside a gated compound gated compound  located in Mandaue City, Cebu. It is conveniently located near schools, malls, restaurants and other business establishments.  It is also accessible by public utility vehicles from the main road.Estimated Lot  Area: 60  square meters Estimated Floor Area : 100 square meters, more or lessHouse Details: 3 storey apartment2 Bedrooms and 1 toilet and bathBuilt-in closets in each bedroom and kitchen cabinets Laundry AreaLiving Area, Dining Area and kitchen area and unfurnished1 car garageRental per month: PhP 18,000.00Advance Rental : Equivalent to two (2) months’ rentSecurity Deposit : Equivalent to two (2) months’ rentMinimum Rental Term : One (1) yearInterested client  feel free to call Janice or Cheryl or Rose or MargieReference Code: 840Ref # 2986","₱ 18,000","['Bedrooms : 2', 'Bath : 1']",Rodulfo Jr. Lafradez,MEMBER SINCE 2016,verified
24,"1 Bedroom Furnished Apartment For Rent in Mandaue City, Cebu",Mandaue,"Property Type: Apartment for Rent&nbsp.Location: Canduman, Mandaue City Cebu, Near Ateneo De Cebu&nbsp.Total Number of Bedrooms: 1Parking Slot: 1Estimated Floor Area: 60 square meters more or lessTurn Over Condition: Clean and fully furnished or with Aircondition and water heater only – Semi FurnishedFully Furnished rental rate per month: PhP32,000.00&nbsp.Semi-Furnished rental rate per month: PhP25,000.001 Bedroom furnished apartment for Rent, located in Canduman, Mandaue City, near Ateneo de Cebu. It is very accessible going to CIS, Ateneo De Cebu, other offices, malls, banks, restaurants and fast food chains. It is few minutes walked to public utility vehicles.Apartment details: 1 Bedroom1 Toilet and BathDining AreaLiving AreaKitchen AreaBuilt-in cabinets1 parking slot&nbsp.Semi-Furnished or can be fully furnishedLease Terms: &nbsp.Security Deposit: Equivalent to 2 months rentAdvance: Equivalent to 2 months rentPeriod Lease: 1 yearReference Code: 508Interested client feel free to call Jun or Margie or Janice or Cheryl or RoseRef # 2986","₱ 25,000","['Bedroom : 1', 'Bath : 1']",Rodulfo Jr. Lafradez,MEMBER SINCE 2016,verified
25,"Apartment for Rent 3 Bedrooms in Lahug, Cebu City",Cebu,"Property Type: Apartment for RentLocation: Lahug, Cebu CityTotal Number of Bedrooms: 3 plus maids roomTotal Number of Toilet and Bath: 4Parking Slot: 1Estimated Floor Area: 100 square metersEstimated Lot Area: 100 square metersTurn over condition: FurnishedRental rate per month: Php 25,000.00&nbsp.Apartment for rent with 3 bedrooms located in Lahug, Cebu City. It is accessible going to mall, banks, schools and universities, restaurants and pharmacy.&nbsp.House Details: 3 BedroomsMasters bedroom with toilet and bathCommon toilet and bath for 2 bedroomsLiving areaDining areaKitchenMaids roomPowder room1 Car garageWith own gate&nbsp.Rental Terms: Advance Payment: Equivalent to 1 month advanceSecurity Deposit: Equivalent to 2 months&nbsp.Reference Code: 976Interested client feel free to call Margie&nbsp.Ref # 2986","₱ 25,000","['Bedrooms : 3', 'Baths : 4']",Rodulfo Jr. Lafradez,MEMBER SINCE 2016,verified
26,accepting lady bed spacers,Angeles,"We are accepting lady bed spacers. Perfect for students, employees and call center agents. Reasonably priced at P1,500 / head which includes water and electric. And here's more... Now with free wi-fi connection. Strategically located at P.Nuqui St, Barangay Salapungan, Angeles City. Just a few steps from  Banco de Oro, Angeles University Foundation, Starbucks Coffee and other establishments. Interested? Please feel free to call my Dad Lino Sanchez for details.","₱ 1,500",['Bedroom : 1'],LINO SANCHEZ,MEMBER SINCE 2016,verified
27,Condo Sharing Female Bedspace near JP Morgan St Luke's The Fort Bgc,Makati,"Condo Sharing Female Bedspace near JP Morgan St Luke&#39.s The Fort Bonifacio BGC - 4 persons only in Condo with WIFI and Own CR&lt.br /&gt.Centro Condo Sharing @ Fort Dow Place&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.We are on ~^~^~!&lt.br /&gt.Search us in ~^~^~ and Like our ~^~^~ Page &quot.Centro Condo Sharing&quot.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.** FREE WIFI - Newly Opened **&lt.br /&gt.&lt.br /&gt.GUARANTEED 4 ONLY IN CONDO&lt.br /&gt.CERTIFIED FLOOD-FREE LOCATION&lt.br /&gt.NO HASSLE GOING TO & FROM CONDO&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.BRAND NEW BUILDING&lt.br /&gt.&lt.br /&gt.Walking distance to JP Morgan, St. Luke&#39.s Global, Deutsche, EDSA, Guadalupe MRT, Buendia MRT.  &lt.br /&gt.One ride to Market Market, Accenture. &lt.br /&gt.Near McKinley.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.More photos click here&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.We are on ~^~^~!&lt.br /&gt.Search us in ~^~^~ and Like our ~^~^~ Page &quot.Centro Condo Sharing&quot.&lt.br /&gt.&lt.br /&gt.&lt.br /&gt.Guaranteed 4 occupants only in Room&lt.br /&gt.FREE Fast WIFI &lt.br /&gt.with own Toilet & Bathroom&lt.br /&gt.Can do laundry with drying area at the roof deck&lt.br /&gt.Brand n","₱ 4,500","['Bedroom : 1', 'Floor area : 18 m²']",condo sharing,MEMBER SINCE 2016,verified
28,"2 Bedroom Furnished Apartment For Rent in Mandaue City, Cebu",Mandaue,"Property Type: Apartment for Rent&nbsp.Location: Canduman, Mandaue City Cebu, Near Ateneo De Cebu&nbsp.Total Number of Bedrooms: 2Parking Slot: 1Estimated Floor Area: 135 square meters more or lessTurn Over Condition: Clean and fully furnished or with Air-conditioned and water heater only – Semi FurnishedFully Furnished rental rate per month: PhP45,000.00&nbsp.Semi-Furnished rental rate per month: PhP35,000.002 Bedroom furnished apartment for Rent, located in Canduman, Mandaue City, near Ateneo de Cebu. It is very accessible going to CIS, Ateneo De Cebu, other offices, malls, banks, restaurants and fast food chains. It is few minutes walked to public utility vehicles.Apartment details: 2 Bedroom2 Toilet and BathDining AreaLarge Living AreaLarge Kitchen AreaBuilt-in cabinetsStorage room1 parking slot&nbsp.Fully Furnished or can be Semi-FurnishedLease Terms: &nbsp.Security Deposit: Equivalent to 2 months rentAdvance: Equivalent to 2 months rentPeriod Lease: 1 yearReference Code: 292Interested client feel free to call Jun or Margie or Janice or Cheryl or ErmieRef # 2986","₱ 35,000","['Bedrooms : 2', 'Bath : 1']",Rodulfo Jr. Lafradez,MEMBER SINCE 2016,verified
29,Apartment for rent in Mabolo Cebu City with 4 Bedrooms Unfurnished,Cebu,"For Rent Apartment in Cebu City near IT Park 4-Bedrooms at 35k  Few meters away from the jeepney line, near Ayala Mall, Cebu Business Park, Cebu IT Park, Banks and other commercial establishments.  Estimated Lot Area: 80 square meters Estimated Floor Area: 220 square meters  Apartment Features:  3-storey 4-Bedrooms 3 Toilet and Bath Powder room 2 car parking Unfurnished Laundry Area Drying Area  Monthly Rental Rate: PhP 35,000.00 Lease Terms:  Security deposit: 2 months Advance: 2 months Minimum of 2 years lease contract  Reference Code: 294 Interested client feel free to call Margie or JaniceRef # 2986","₱ 35,000","['Bedrooms : 4', 'Baths : 3']",Rodulfo Jr. Lafradez,MEMBER SINCE 2016,verified
30,"Transient Room For Rent in Milagros Subdivision, Antipolo City, Rizal","Dalig, Antipolo","Transient Room For Rent in Antipolo City Rizal

1 person 1 room
1 night - 500 pesos
2 nights - 700 pesos
3 nights - 1,050 pesos 
4 to 10 nights- with discount pls ask for computation

2 persons 1 room
1 night - 600 pesos
2 nights - 1200 pesos
3 nights - 1800 pesos
4 to 10 nights- with discount ask for computation

With 100 pesos charge for towel and blanket

With 100 pesos key deposit binabalik ang 100 on check out

We serve ALL DAY BREAKFAST WITH CHARGE FEE SEE MENU INSIDE BOARDING HOUSE

Children age 13 and below not allowed

No airconditioning, we use electric fans

Motorbikes - with parking space available sa tapat ng boarding house

Cars- No Parking Space Available

Cooking not allowed for transient stay

No own toilet and sink, sharing sa toilet and sink with other boarders.

Bring your own toiletries and pambahay tsinelas

Free Electricity
Free Water
Free Drinking water
Can do laundry inside handwash only
Free use of refrigerator, kitchen equipments and utensils
With housekeeper free cleaning of the rooms

No wifi, each boarder needs to provide own prepaid internet.

Guest not allowed inside
Pets not allowed inside
Drinking and Smoking outside of the house only

Address: Shalimar Boarding House Blk 13 st micheal street Milagros Subdivision Brgy Dalig Antipolo City Rizal

NO REFUND ONCE ROOM IS BOOKED IT IS CONSUMABLE. NO REFUND.

Page: shalimar boarding house",₱ 500,"['Bedroom : 1', 'Baths : 2']",Malay Tan,MEMBER SINCE 2021,not verified
31,5 Bedroom Townhouse For Rent in Muntinlupa City,"Cupang, Muntinlupa","5 Bedroom Townhouse For Rent in Muntinlupa City 

A Townhouse for Rent in Muntinlupa City.  A few mins. away for Alabang Town Cente, Asian Hospital,  San Beda Alabang.  

Lot Area: 140 sqm 
Floor Area:  270 sqm 

5 Bedrooms
6 Toilets and Bath
2 parking slots (for regular size cars)

Asking Price: P80,000 per month","₱ 80,000","['Bedrooms : 5', 'Baths : 5', 'Floor area : 270 m²']",Clement Dizon,MEMBER SINCE 2016,verified
32,Beautiful house for sale,"Ilustre, President Roxas",Beautiful house for sale,₱ 123,"['Bedroom : 1', 'Bath : 1', 'Floor area : 123 m²']",combo5 user5,MEMBER SINCE 2023,not verified
33,"Dormitory Spaces for Rent in Santo Tomas, Batangas","Santa Anastacia, Santo Tomas","Consuelo Park Residences (CPR) is a dormitory facility conveniently  located at the heart of First Philippine Industrial Park (FPIP), Santo  Tomas, Batangas.   CPR is ideal for individuals and professionals looking for dormitory  spaces within the area hoping to save on time and travel costs. Other  commercial establishments present in FPIP include hotels, banks,  sports gymnasium, and restaurants.   Be closer to home and join a thriving residential community at Consuelo  Park Residences! For rent: dormitory spaces   Amenities:  • Fully furnished room  • En-suite bathroom  • Common facilities  • Walking distance to Consuelo Park",Contact agent for price,"['Bedroom : 1', 'Bath : 1', 'Floor area : 15 m²']",Oasis FPIP,MEMBER SINCE 2019,verified
34,"Studio Type Rooms for Monthly Rent near SM Mall of Asia, Baclaran Parañaque City","Baclaran, Parañaque","E & H Residences  Rooms for monthly rent Studio Type with own CR Semi-Furnished room - Bed, aircon,table, chair,TV with Cable - Free Wi-Fi (100 mbps) - 24/7 Security and CCTV  Near SM Mall of Asia, City of Dreams,NAIA Airport Location: 3990 Airport Road, Baclaran, Parañaque City  Apartment for rent in Baclaran, Parañaque City, Metro Manila  For Inquiries look for Mr. RR",Contact agent for price,"['Bedroom : 1', 'Bath : 1']",Chloe Chu,MEMBER SINCE 2019,verified
35,"2 UNITS FOR RENT APARTMENT IN HERRERA ST. STA CRUZ , MANILA",Manila,"We have 2 UNITS available:
6th Floor -2 bedroom 1 CR 63 SQM @13k ( FLOOR NO.6J)
5th Floor - 2 bedroom 2 CR 73 SQM @16,500 ( FLOOR NO.5G)

ADDRESS:
1219 Herrera St., Near Avenida or SM SAN LAZARO

Call/Text 09176274095","₱ 13,000","['Bedrooms : 2', 'Baths : 2', 'Floor area : 63 m²']",Eva Choi,MEMBER SINCE 2022,not verified
36,Urban Pad - Dormitory for Lease,"Highway Hills, Mandaluyong","""Urban Pad offers convenient and comfortable living spaces for young working professionals in the City"" 

We have available rooms (Private Room, Good for 6pax, Good for 8pax)

We are open for (Weekly and Monthly Stays)

☆ Inclusions ☆
✓ Double deck bed frame
✓ Aircon (Private Room and Co sharing 6pax-Premium)
✓ Own toilet and bathroom
✓ Cabinet
✓ Ceiling Fan
☆ Amenities ☆
✓ 24-hour security
✓ Cctv
✓ Service elevator
✓ Fire alarm with sprinkler and extinguisher","₱ 5,000","['Bedroom : 1', 'Bath : 1']","CBC LAND MGMT., INC.",MEMBER SINCE 2020,verified
